cell_list,protein_list,tissue_list
VCAP,ENSP00000369855,prostate
VCAP,ENSP00000453854,prostate
VCAP,ENSP00000345179,prostate
VCAP,ENSP00000365908,prostate
VCAP,ENSP00000274793,prostate
VCAP,ENSP00000004531,prostate
VCAP,ENSP00000359793,prostate
VCAP,ENSP00000433757,prostate
VCAP,ENSP00000422375,prostate
VCAP,ENSP00000300056,prostate
VCAP,ENSP00000006658,prostate
VCAP,ENSP00000292090,prostate
VCAP,ENSP00000236137,prostate
VCAP,ENSP00000417573,prostate
VCAP,ENSP00000264896,prostate
VCAP,ENSP00000264433,prostate
VCAP,ENSP00000263635,prostate
VCAP,ENSP00000460823,prostate
VCAP,ENSP00000322532,prostate
VCAP,ENSP00000305918,prostate
VCAP,ENSP00000265881,prostate
VCAP,ENSP00000269187,prostate
VCAP,ENSP00000380251,prostate
VCAP,ENSP00000344942,prostate
VCAP,ENSP00000350075,prostate
VCAP,ENSP00000367440,prostate
VCAP,ENSP00000333666,prostate
VCAP,ENSP00000250535,prostate
VCAP,ENSP00000410466,prostate
VCAP,ENSP00000216500,prostate
VCAP,ENSP00000360244,prostate
VCAP,ENSP00000387662,prostate
VCAP,ENSP00000274382,prostate
VCAP,ENSP00000427820,prostate
VCAP,ENSP00000387462,prostate
VCAP,ENSP00000315988,prostate
VCAP,ENSP00000379891,prostate
VCAP,ENSP00000363667,prostate
VCAP,ENSP00000265104,prostate
VCAP,ENSP00000303356,prostate
VCAP,ENSP00000225724,prostate
VCAP,ENSP00000462963,prostate
VCAP,ENSP00000225388,prostate
VCAP,ENSP00000261716,prostate
VCAP,ENSP00000363149,prostate
VCAP,ENSP00000250448,prostate
VCAP,ENSP00000268933,prostate
VCAP,ENSP00000363822,prostate
VCAP,ENSP00000360660,prostate
VCAP,ENSP00000244926,prostate
VCAP,ENSP00000361894,prostate
VCAP,ENSP00000243167,prostate
VCAP,ENSP00000251691,prostate
VCAP,ENSP00000382104,prostate
VCAP,ENSP00000389026,prostate
VCAP,ENSP00000358747,prostate
VCAP,ENSP00000369643,prostate
VCAP,ENSP00000282572,prostate
VCAP,ENSP00000300057,prostate
VCAP,ENSP00000274813,prostate
VCAP,ENSP00000326110,prostate
VCAP,ENSP00000197268,prostate
VCAP,ENSP00000346693,prostate
VCAP,ENSP00000307241,prostate
VCAP,ENSP00000286733,prostate
VCAP,ENSP00000404705,prostate
VCAP,ENSP00000342755,prostate
VCAP,ENSP00000279263,prostate
VCAP,ENSP00000343657,prostate
VCAP,ENSP00000216452,prostate
VCAP,ENSP00000256999,prostate
VCAP,ENSP00000229266,prostate
VCAP,ENSP00000330278,prostate
VCAP,ENSP00000378324,prostate
VCAP,ENSP00000348828,prostate
VCAP,ENSP00000297205,prostate
VCAP,ENSP00000316130,prostate
VCAP,ENSP00000326699,prostate
VCAP,ENSP00000356515,prostate
VCAP,ENSP00000284116,prostate
VCAP,ENSP00000291539,prostate
VCAP,ENSP00000313088,prostate
VCAP,ENSP00000202677,prostate
VCAP,ENSP00000262547,prostate
VCAP,ENSP00000301972,prostate
VCAP,ENSP00000363124,prostate
VCAP,ENSP00000311984,prostate
VCAP,ENSP00000257347,prostate
VCAP,ENSP00000364893,prostate
VCAP,ENSP00000364929,prostate
VCAP,ENSP00000267339,prostate
VCAP,ENSP00000369682,prostate
VCAP,ENSP00000284878,prostate
VCAP,ENSP00000349493,prostate
VCAP,ENSP00000381588,prostate
VCAP,ENSP00000264382,prostate
VCAP,ENSP00000267328,prostate
VCAP,ENSP00000307674,prostate
VCAP,ENSP00000435835,prostate
VCAP,ENSP00000302216,prostate
VCAP,ENSP00000320679,prostate
VCAP,ENSP00000320337,prostate
VCAP,ENSP00000360184,prostate
VCAP,ENSP00000233969,prostate
VCAP,ENSP00000296658,prostate
VCAP,ENSP00000290399,prostate
VCAP,ENSP00000205948,prostate
VCAP,ENSP00000237014,prostate
VCAP,ENSP00000329374,prostate
VCAP,ENSP00000360170,prostate
VCAP,ENSP00000295897,prostate
VCAP,ENSP00000305221,prostate
VCAP,ENSP00000421725,prostate
VCAP,ENSP00000262626,prostate
VCAP,ENSP00000406293,prostate
VCAP,ENSP00000379401,prostate
VCAP,ENSP00000355204,prostate
VCAP,ENSP00000380467,prostate
VCAP,ENSP00000361083,prostate
VCAP,ENSP00000329040,prostate
VCAP,ENSP00000352447,prostate
VCAP,ENSP00000357425,prostate
VCAP,ENSP00000253144,prostate
VCAP,ENSP00000324532,prostate
VCAP,ENSP00000370750,prostate
VCAP,ENSP00000358994,prostate
VCAP,ENSP00000349291,prostate
VCAP,ENSP00000243389,prostate
VCAP,ENSP00000295981,prostate
VCAP,ENSP00000279206,prostate
VCAP,ENSP00000381844,prostate
VCAP,ENSP00000306884,prostate
VCAP,ENSP00000265462,prostate
VCAP,ENSP00000366098,prostate
VCAP,ENSP00000324173,prostate
VCAP,ENSP00000261514,prostate
VCAP,ENSP00000414906,prostate
VCAP,ENSP00000370966,prostate
VCAP,ENSP00000348984,prostate
VCAP,ENSP00000291577,prostate
VCAP,ENSP00000345681,prostate
VCAP,ENSP00000304767,prostate
VCAP,ENSP00000381932,prostate
VCAP,ENSP00000338157,prostate
VCAP,ENSP00000400312,prostate
VCAP,ENSP00000338967,prostate
VCAP,ENSP00000370303,prostate
VCAP,ENSP00000323036,prostate
VCAP,ENSP00000256460,prostate
VCAP,ENSP00000346088,prostate
VCAP,ENSP00000420037,prostate
VCAP,ENSP00000362395,prostate
VCAP,ENSP00000318094,prostate
VCAP,ENSP00000377298,prostate
VCAP,ENSP00000258886,prostate
VCAP,ENSP00000351596,prostate
VCAP,ENSP00000362441,prostate
VCAP,ENSP00000386845,prostate
VCAP,ENSP00000256404,prostate
VCAP,ENSP00000352252,prostate
VCAP,ENSP00000339566,prostate
VCAP,ENSP00000361158,prostate
VCAP,ENSP00000223862,prostate
VCAP,ENSP00000277865,prostate
VCAP,ENSP00000270139,prostate
VCAP,ENSP00000312150,prostate
VCAP,ENSP00000343706,prostate
VCAP,ENSP00000362616,prostate
VCAP,ENSP00000282096,prostate
VCAP,ENSP00000403925,prostate
VCAP,ENSP00000344215,prostate
VCAP,ENSP00000296518,prostate
VCAP,ENSP00000378050,prostate
VCAP,ENSP00000396896,prostate
VCAP,ENSP00000378578,prostate
VCAP,ENSP00000268057,prostate
VCAP,ENSP00000468348,prostate
VCAP,ENSP00000316476,prostate
VCAP,ENSP00000357442,prostate
VCAP,ENSP00000357507,prostate
VCAP,ENSP00000357452,prostate
VCAP,ENSP00000411672,prostate
VCAP,ENSP00000298396,prostate
VCAP,ENSP00000261313,prostate
VCAP,ENSP00000313581,prostate
VCAP,ENSP00000370253,prostate
VCAP,ENSP00000358963,prostate
VCAP,ENSP00000345972,prostate
VCAP,ENSP00000249007,prostate
VCAP,ENSP00000320180,prostate
VCAP,ENSP00000293330,prostate
VCAP,ENSP00000305766,prostate
VCAP,ENSP00000218316,prostate
VCAP,ENSP00000364677,prostate
VCAP,ENSP00000257198,prostate
VCAP,ENSP00000373648,prostate
VCAP,ENSP00000348129,prostate
VCAP,ENSP00000234296,prostate
VCAP,ENSP00000400142,prostate
VCAP,ENSP00000160827,prostate
VCAP,ENSP00000321656,prostate
VCAP,ENSP00000378356,prostate
VCAP,ENSP00000001008,prostate
VCAP,ENSP00000300030,prostate
VCAP,ENSP00000332595,prostate
VCAP,ENSP00000367787,prostate
VCAP,ENSP00000403310,prostate
VCAP,ENSP00000312741,prostate
VCAP,ENSP00000357880,prostate
VCAP,ENSP00000402527,prostate
VCAP,ENSP00000357907,prostate
VCAP,ENSP00000351416,prostate
VCAP,ENSP00000352738,prostate
VCAP,ENSP00000273920,prostate
VCAP,ENSP00000321239,prostate
VCAP,ENSP00000309007,prostate
VCAP,ENSP00000303525,prostate
VCAP,ENSP00000432688,prostate
VCAP,ENSP00000427802,prostate
VCAP,ENSP00000387219,prostate
VCAP,ENSP00000003302,prostate
VCAP,ENSP00000306344,prostate
VCAP,ENSP00000321260,prostate
VCAP,ENSP00000385751,prostate
VCAP,ENSP00000367024,prostate
VCAP,ENSP00000279242,prostate
VCAP,ENSP00000318861,prostate
VCAP,ENSP00000340330,prostate
VCAP,ENSP00000344572,prostate
VCAP,ENSP00000315774,prostate
VCAP,ENSP00000322450,prostate
VCAP,ENSP00000308413,prostate
VCAP,ENSP00000301488,prostate
VCAP,ENSP00000305899,prostate
VCAP,ENSP00000438349,prostate
VCAP,ENSP00000308193,prostate
VCAP,ENSP00000348769,prostate
VCAP,ENSP00000395772,prostate
VCAP,ENSP00000253693,prostate
VCAP,ENSP00000373713,prostate
VCAP,ENSP00000233027,prostate
VCAP,ENSP00000349124,prostate
VCAP,ENSP00000265563,prostate
VCAP,ENSP00000326981,prostate
VCAP,ENSP00000463013,prostate
VCAP,ENSP00000310226,prostate
VCAP,ENSP00000270176,prostate
VCAP,ENSP00000308548,prostate
VCAP,ENSP00000417980,prostate
VCAP,ENSP00000316809,prostate
VCAP,ENSP00000361032,prostate
VCAP,ENSP00000363779,prostate
VCAP,ENSP00000350708,prostate
VCAP,ENSP00000362946,prostate
VCAP,ENSP00000365725,prostate
VCAP,ENSP00000281589,prostate
VCAP,ENSP00000399968,prostate
VCAP,ENSP00000381250,prostate
VCAP,ENSP00000383719,prostate
VCAP,ENSP00000288774,prostate
VCAP,ENSP00000367476,prostate
VCAP,ENSP00000334840,prostate
VCAP,ENSP00000306328,prostate
VCAP,ENSP00000426909,prostate
VCAP,ENSP00000379836,prostate
VCAP,ENSP00000254900,prostate
VCAP,ENSP00000239906,prostate
VCAP,ENSP00000262053,prostate
VCAP,ENSP00000358293,prostate
VCAP,ENSP00000261427,prostate
VCAP,ENSP00000264313,prostate
VCAP,ENSP00000392709,prostate
VCAP,ENSP00000323967,prostate
VCAP,ENSP00000261890,prostate
VCAP,ENSP00000380054,prostate
VCAP,ENSP00000354061,prostate
VCAP,ENSP00000261783,prostate
VCAP,ENSP00000310275,prostate
VCAP,ENSP00000265094,prostate
VCAP,ENSP00000263354,prostate
VCAP,ENSP00000392410,prostate
VCAP,ENSP00000351589,prostate
VCAP,ENSP00000375820,prostate
VCAP,ENSP00000251864,prostate
VCAP,ENSP00000383096,prostate
VCAP,ENSP00000348573,prostate
VCAP,ENSP00000338629,prostate
VCAP,ENSP00000314733,prostate
VCAP,ENSP00000346148,prostate
VCAP,ENSP00000389381,prostate
VCAP,ENSP00000305632,prostate
VCAP,ENSP00000240874,prostate
VCAP,ENSP00000367197,prostate
VCAP,ENSP00000322265,prostate
VCAP,ENSP00000281741,prostate
VCAP,ENSP00000295101,prostate
VCAP,ENSP00000355387,prostate
VCAP,ENSP00000263925,prostate
VCAP,ENSP00000075503,prostate
VCAP,ENSP00000308057,prostate
VCAP,ENSP00000299198,prostate
VCAP,ENSP00000310593,prostate
VCAP,ENSP00000450337,prostate
VCAP,ENSP00000316042,prostate
VCAP,ENSP00000360472,prostate
VCAP,ENSP00000282369,prostate
VCAP,ENSP00000421180,prostate
VCAP,ENSP00000261488,prostate
VCAP,ENSP00000294244,prostate
VCAP,ENSP00000301399,prostate
VCAP,ENSP00000380876,prostate
VCAP,ENSP00000362330,prostate
VCAP,ENSP00000369962,prostate
VCAP,ENSP00000265018,prostate
VCAP,ENSP00000357844,prostate
VCAP,ENSP00000323926,prostate
VCAP,ENSP00000383199,prostate
VCAP,ENSP00000325548,prostate
VCAP,ENSP00000332208,prostate
VCAP,ENSP00000406012,prostate
VCAP,ENSP00000469315,prostate
VCAP,ENSP00000326159,prostate
VCAP,ENSP00000314151,prostate
VCAP,ENSP00000298966,prostate
VCAP,ENSP00000290295,prostate
VCAP,ENSP00000358301,prostate
VCAP,ENSP00000358512,prostate
VCAP,ENSP00000287538,prostate
VCAP,ENSP00000310861,prostate
VCAP,ENSP00000265572,prostate
VCAP,ENSP00000345292,prostate
VCAP,ENSP00000269829,prostate
VCAP,ENSP00000243644,prostate
VCAP,ENSP00000270649,prostate
VCAP,ENSP00000347043,prostate
VCAP,ENSP00000305373,prostate
VCAP,ENSP00000221327,prostate
VCAP,ENSP00000444747,prostate
VCAP,ENSP00000350024,prostate
VCAP,ENSP00000349677,prostate
VCAP,ENSP00000313877,prostate
VCAP,ENSP00000265594,prostate
VCAP,ENSP00000293883,prostate
VCAP,ENSP00000360635,prostate
VCAP,ENSP00000378323,prostate
SW837,ENSP00000369318,large intestine
SW837,ENSP00000339801,large intestine
SW837,ENSP00000379503,large intestine
SW837,ENSP00000324729,large intestine
SW837,ENSP00000376246,large intestine
SW837,ENSP00000333350,large intestine
SW837,ENSP00000345728,large intestine
SW837,ENSP00000392330,large intestine
SW837,ENSP00000377225,large intestine
SW837,ENSP00000358857,large intestine
SW837,ENSP00000417763,large intestine
SW837,ENSP00000358674,large intestine
SW837,ENSP00000349923,large intestine
SW837,ENSP00000358999,large intestine
SW837,ENSP00000395535,large intestine
SW837,ENSP00000353393,large intestine
SW837,ENSP00000359297,large intestine
SW837,ENSP00000358474,large intestine
SW837,ENSP00000363708,large intestine
SW837,ENSP00000362863,large intestine
SW837,ENSP00000354251,large intestine
SW837,ENSP00000260453,large intestine
SW837,ENSP00000314724,large intestine
SW837,ENSP00000359300,large intestine
SW837,ENSP00000359925,large intestine
SW837,ENSP00000363308,large intestine
SW837,ENSP00000304895,large intestine
SW837,ENSP00000314343,large intestine
SW837,ENSP00000332530,large intestine
SW837,ENSP00000270800,large intestine
SW837,ENSP00000416126,large intestine
SW837,ENSP00000302108,large intestine
SW837,ENSP00000345808,large intestine
SW837,ENSP00000308430,large intestine
SW837,ENSP00000375430,large intestine
SW837,ENSP00000209718,large intestine
SW837,ENSP00000258443,large intestine
SW837,ENSP00000294312,large intestine
SW837,ENSP00000372170,large intestine
SW837,ENSP00000296043,large intestine
SW837,ENSP00000295453,large intestine
SW837,ENSP00000259845,large intestine
SW837,ENSP00000265113,large intestine
SW837,ENSP00000358327,large intestine
SW837,ENSP00000263512,large intestine
SW837,ENSP00000325425,large intestine
SW837,ENSP00000346599,large intestine
SW837,ENSP00000233057,large intestine
SW837,ENSP00000377344,large intestine
SW837,ENSP00000260264,large intestine
SW837,ENSP00000263461,large intestine
SW837,ENSP00000340465,large intestine
SW837,ENSP00000296582,large intestine
SW837,ENSP00000381204,large intestine
SW837,ENSP00000296522,large intestine
SW837,ENSP00000326563,large intestine
SW837,ENSP00000376417,large intestine
SW837,ENSP00000317331,large intestine
SW837,ENSP00000228641,large intestine
SW837,ENSP00000359382,large intestine
SW837,ENSP00000307164,large intestine
SW837,ENSP00000303077,large intestine
SW837,ENSP00000176195,large intestine
SW837,ENSP00000340982,large intestine
SW837,ENSP00000259631,large intestine
SW837,ENSP00000332656,large intestine
SW837,ENSP00000422188,large intestine
SW837,ENSP00000353292,large intestine
SW837,ENSP00000293303,large intestine
SW837,ENSP00000356382,large intestine
SW837,ENSP00000362870,large intestine
SW837,ENSP00000331736,large intestine
SW837,ENSP00000431748,large intestine
SW837,ENSP00000282141,large intestine
SW837,ENSP00000325526,large intestine
SW837,ENSP00000389009,large intestine
SW837,ENSP00000249044,large intestine
SW837,ENSP00000215530,large intestine
SW837,ENSP00000329904,large intestine
SW837,ENSP00000291744,large intestine
SW837,ENSP00000284601,large intestine
SW837,ENSP00000352264,large intestine
SW837,ENSP00000260227,large intestine
SW837,ENSP00000329165,large intestine
SW837,ENSP00000358563,large intestine
SW837,ENSP00000220514,large intestine
SW837,ENSP00000377492,large intestine
SW837,ENSP00000359393,large intestine
SW837,ENSP00000286428,large intestine
SW837,ENSP00000215829,large intestine
SW837,ENSP00000328720,large intestine
SW837,ENSP00000333255,large intestine
SW837,ENSP00000355812,large intestine
SW837,ENSP00000198767,large intestine
SW837,ENSP00000423820,large intestine
SW837,ENSP00000286317,large intestine
SW837,ENSP00000387362,large intestine
SW837,ENSP00000336606,large intestine
SW837,ENSP00000310596,large intestine
SW837,ENSP00000287322,large intestine
SW837,ENSP00000380352,large intestine
SW837,ENSP00000261942,large intestine
SW837,ENSP00000378350,large intestine
SW837,ENSP00000418447,large intestine
SW837,ENSP00000353904,large intestine
SW837,ENSP00000405926,large intestine
SW837,ENSP00000297540,large intestine
SW837,ENSP00000296859,large intestine
SW837,ENSP00000265081,large intestine
SW837,ENSP00000362329,large intestine
SW837,ENSP00000384408,large intestine
SW837,ENSP00000312770,large intestine
SW837,ENSP00000379042,large intestine
SW837,ENSP00000274361,large intestine
SW837,ENSP00000383096,large intestine
SW837,ENSP00000351530,large intestine
SW837,ENSP00000306788,large intestine
SW837,ENSP00000298596,large intestine
SW837,ENSP00000361544,large intestine
SW837,ENSP00000305151,large intestine
SW837,ENSP00000314151,large intestine
SW837,ENSP00000280357,large intestine
SW837,ENSP00000358212,large intestine
SW837,ENSP00000317903,large intestine
SW837,ENSP00000418018,large intestine
SW837,ENSP00000440847,large intestine
SW837,ENSP00000238018,large intestine
SW837,ENSP00000316948,large intestine
SW837,ENSP00000337122,large intestine
SW837,ENSP00000351207,large intestine
SW837,ENSP00000373565,large intestine
A498,ENSP00000317128,kidney
A498,ENSP00000310491,kidney
A498,ENSP00000341083,kidney
A498,ENSP00000393557,kidney
A498,ENSP00000321445,kidney
A498,ENSP00000374274,kidney
A498,ENSP00000166139,kidney
A498,ENSP00000316779,kidney
A498,ENSP00000277554,kidney
A498,ENSP00000363868,kidney
A498,ENSP00000366280,kidney
A498,ENSP00000304941,kidney
A498,ENSP00000280191,kidney
A498,ENSP00000367104,kidney
A498,ENSP00000263867,kidney
A498,ENSP00000366246,kidney
A498,ENSP00000261503,kidney
A498,ENSP00000365016,kidney
A498,ENSP00000376823,kidney
A498,ENSP00000220751,kidney
A498,ENSP00000368767,kidney
A498,ENSP00000385571,kidney
A498,ENSP00000305193,kidney
A498,ENSP00000217971,kidney
A498,ENSP00000361475,kidney
A498,ENSP00000287878,kidney
A498,ENSP00000320188,kidney
A498,ENSP00000441032,kidney
A498,ENSP00000376227,kidney
A498,ENSP00000364595,kidney
A498,ENSP00000336866,kidney
A498,ENSP00000400099,kidney
A498,ENSP00000322628,kidney
A498,ENSP00000264710,kidney
A498,ENSP00000300433,kidney
A498,ENSP00000352584,kidney
A498,ENSP00000370254,kidney
A498,ENSP00000414558,kidney
A498,ENSP00000350369,kidney
A498,ENSP00000346173,kidney
A498,ENSP00000285930,kidney
A498,ENSP00000345344,kidney
A498,ENSP00000322343,kidney
A498,ENSP00000358575,kidney
A498,ENSP00000333685,kidney
A498,ENSP00000006015,kidney
A498,ENSP00000379369,kidney
A498,ENSP00000262424,kidney
A498,ENSP00000317674,kidney
A498,ENSP00000288368,kidney
A498,ENSP00000446280,kidney
A498,ENSP00000327916,kidney
A498,ENSP00000276914,kidney
A498,ENSP00000253407,kidney
A498,ENSP00000250457,kidney
A498,ENSP00000178638,kidney
A498,ENSP00000296795,kidney
A498,ENSP00000358794,kidney
A498,ENSP00000200457,kidney
A498,ENSP00000346643,kidney
A498,ENSP00000248437,kidney
A498,ENSP00000275300,kidney
A498,ENSP00000340083,kidney
A498,ENSP00000262613,kidney
A498,ENSP00000056217,kidney
A498,ENSP00000441929,kidney
A498,ENSP00000398076,kidney
A498,ENSP00000361636,kidney
A498,ENSP00000289004,kidney
A498,ENSP00000297785,kidney
A498,ENSP00000447149,kidney
A498,ENSP00000283871,kidney
A498,ENSP00000289575,kidney
A498,ENSP00000370419,kidney
A498,ENSP00000355084,kidney
A498,ENSP00000258200,kidney
A498,ENSP00000379865,kidney
A498,ENSP00000422185,kidney
A498,ENSP00000272928,kidney
A498,ENSP00000428780,kidney
A498,ENSP00000316881,kidney
A498,ENSP00000317686,kidney
A498,ENSP00000263368,kidney
A498,ENSP00000327513,kidney
A498,ENSP00000347836,kidney
A498,ENSP00000262213,kidney
A498,ENSP00000372193,kidney
A498,ENSP00000399938,kidney
A498,ENSP00000345528,kidney
A498,ENSP00000319651,kidney
A498,ENSP00000369853,kidney
A498,ENSP00000298545,kidney
A498,ENSP00000321259,kidney
A498,ENSP00000307199,kidney
A498,ENSP00000326627,kidney
A498,ENSP00000350928,kidney
A498,ENSP00000424757,kidney
A498,ENSP00000245903,kidney
A498,ENSP00000219919,kidney
A498,ENSP00000346466,kidney
A498,ENSP00000222553,kidney
A498,ENSP00000382508,kidney
A498,ENSP00000417035,kidney
A498,ENSP00000354777,kidney
A498,ENSP00000370421,kidney
A498,ENSP00000378313,kidney
A498,ENSP00000344489,kidney
A498,ENSP00000353198,kidney
A498,ENSP00000217270,kidney
A498,ENSP00000249007,kidney
A498,ENSP00000310722,kidney
A498,ENSP00000349971,kidney
A498,ENSP00000295542,kidney
A498,ENSP00000307449,kidney
A498,ENSP00000339613,kidney
A498,ENSP00000368976,kidney
A498,ENSP00000321077,kidney
A498,ENSP00000328358,kidney
A498,ENSP00000270328,kidney
A498,ENSP00000316842,kidney
A498,ENSP00000263598,kidney
A498,ENSP00000085068,kidney
A498,ENSP00000267119,kidney
A498,ENSP00000319118,kidney
A498,ENSP00000359819,kidney
A498,ENSP00000331720,kidney
A498,ENSP00000324804,kidney
A498,ENSP00000366748,kidney
A498,ENSP00000361418,kidney
A498,ENSP00000309606,kidney
A498,ENSP00000309945,kidney
A498,ENSP00000460850,kidney
A498,ENSP00000262482,kidney
A498,ENSP00000380998,kidney
A498,ENSP00000361731,kidney
A498,ENSP00000396445,kidney
A498,ENSP00000421489,kidney
A498,ENSP00000416050,kidney
A498,ENSP00000345575,kidney
A498,ENSP00000362144,kidney
A498,ENSP00000375872,kidney
A498,ENSP00000356375,kidney
A498,ENSP00000351926,kidney
A498,ENSP00000302783,kidney
A498,ENSP00000238788,kidney
A498,ENSP00000368808,kidney
A498,ENSP00000419970,kidney
A498,ENSP00000035307,kidney
A498,ENSP00000334140,kidney
A498,ENSP00000395007,kidney
A498,ENSP00000379901,kidney
A498,ENSP00000325941,kidney
A498,ENSP00000310459,kidney
A498,ENSP00000350005,kidney
A498,ENSP00000328511,kidney
A498,ENSP00000368994,kidney
A498,ENSP00000338207,kidney
A498,ENSP00000264712,kidney
A498,ENSP00000368964,kidney
A498,ENSP00000334198,kidney
A498,ENSP00000326159,kidney
A498,ENSP00000446100,kidney
A498,ENSP00000327545,kidney
A498,ENSP00000233121,kidney
A498,ENSP00000264424,kidney
A498,ENSP00000362014,kidney
ACHN,ENSP00000354394,kidney
ACHN,ENSP00000435466,kidney
ACHN,ENSP00000362817,kidney
ACHN,ENSP00000393557,kidney
ACHN,ENSP00000295213,kidney
ACHN,ENSP00000261200,kidney
ACHN,ENSP00000240662,kidney
ACHN,ENSP00000356621,kidney
ACHN,ENSP00000386414,kidney
ACHN,ENSP00000348300,kidney
ACHN,ENSP00000311899,kidney
ACHN,ENSP00000371693,kidney
ACHN,ENSP00000438468,kidney
ACHN,ENSP00000356940,kidney
ACHN,ENSP00000314444,kidney
ACHN,ENSP00000175091,kidney
ACHN,ENSP00000008527,kidney
ACHN,ENSP00000264276,kidney
ACHN,ENSP00000262187,kidney
ACHN,ENSP00000397566,kidney
ACHN,ENSP00000366070,kidney
ACHN,ENSP00000352513,kidney
ACHN,ENSP00000328088,kidney
ACHN,ENSP00000226225,kidney
ACHN,ENSP00000419279,kidney
ACHN,ENSP00000409126,kidney
ACHN,ENSP00000285930,kidney
ACHN,ENSP00000377616,kidney
ACHN,ENSP00000316377,kidney
ACHN,ENSP00000387662,kidney
ACHN,ENSP00000005587,kidney
ACHN,ENSP00000264734,kidney
ACHN,ENSP00000297029,kidney
ACHN,ENSP00000306163,kidney
ACHN,ENSP00000262424,kidney
ACHN,ENSP00000244527,kidney
ACHN,ENSP00000362993,kidney
ACHN,ENSP00000359680,kidney
ACHN,ENSP00000365172,kidney
ACHN,ENSP00000299759,kidney
ACHN,ENSP00000358211,kidney
ACHN,ENSP00000350359,kidney
ACHN,ENSP00000355583,kidney
ACHN,ENSP00000348459,kidney
ACHN,ENSP00000358698,kidney
ACHN,ENSP00000360167,kidney
ACHN,ENSP00000368135,kidney
ACHN,ENSP00000367715,kidney
ACHN,ENSP00000415998,kidney
ACHN,ENSP00000323913,kidney
ACHN,ENSP00000248089,kidney
ACHN,ENSP00000297679,kidney
ACHN,ENSP00000258538,kidney
ACHN,ENSP00000416583,kidney
ACHN,ENSP00000372035,kidney
ACHN,ENSP00000354109,kidney
ACHN,ENSP00000369442,kidney
ACHN,ENSP00000262366,kidney
ACHN,ENSP00000346643,kidney
ACHN,ENSP00000264428,kidney
ACHN,ENSP00000347198,kidney
ACHN,ENSP00000265104,kidney
ACHN,ENSP00000253794,kidney
ACHN,ENSP00000356263,kidney
ACHN,ENSP00000377043,kidney
ACHN,ENSP00000265029,kidney
ACHN,ENSP00000323568,kidney
ACHN,ENSP00000383894,kidney
ACHN,ENSP00000283249,kidney
ACHN,ENSP00000364609,kidney
ACHN,ENSP00000410083,kidney
ACHN,ENSP00000228437,kidney
ACHN,ENSP00000389252,kidney
ACHN,ENSP00000341268,kidney
ACHN,ENSP00000269228,kidney
ACHN,ENSP00000308351,kidney
ACHN,ENSP00000258214,kidney
ACHN,ENSP00000329757,kidney
ACHN,ENSP00000305675,kidney
ACHN,ENSP00000324404,kidney
ACHN,ENSP00000347152,kidney
ACHN,ENSP00000285021,kidney
ACHN,ENSP00000381097,kidney
ACHN,ENSP00000353165,kidney
ACHN,ENSP00000260324,kidney
ACHN,ENSP00000329468,kidney
ACHN,ENSP00000306138,kidney
ACHN,ENSP00000296600,kidney
ACHN,ENSP00000426070,kidney
ACHN,ENSP00000361668,kidney
ACHN,ENSP00000369146,kidney
ACHN,ENSP00000263239,kidney
ACHN,ENSP00000315357,kidney
ACHN,ENSP00000228318,kidney
ACHN,ENSP00000330737,kidney
ACHN,ENSP00000280557,kidney
ACHN,ENSP00000370741,kidney
ACHN,ENSP00000447057,kidney
ACHN,ENSP00000310623,kidney
ACHN,ENSP00000359398,kidney
ACHN,ENSP00000266604,kidney
ACHN,ENSP00000262319,kidney
ACHN,ENSP00000007390,kidney
ACHN,ENSP00000368982,kidney
ACHN,ENSP00000415822,kidney
ACHN,ENSP00000299138,kidney
ACHN,ENSP00000313504,kidney
ACHN,ENSP00000326737,kidney
ACHN,ENSP00000349823,kidney
ACHN,ENSP00000280665,kidney
ACHN,ENSP00000382178,kidney
ACHN,ENSP00000354415,kidney
ACHN,ENSP00000360412,kidney
ACHN,ENSP00000298510,kidney
ACHN,ENSP00000298746,kidney
ACHN,ENSP00000236980,kidney
ACHN,ENSP00000352401,kidney
ACHN,ENSP00000343412,kidney
ACHN,ENSP00000262570,kidney
ACHN,ENSP00000351052,kidney
ACHN,ENSP00000326604,kidney
ACHN,ENSP00000392270,kidney
ACHN,ENSP00000380321,kidney
ACHN,ENSP00000342322,kidney
ACHN,ENSP00000282499,kidney
ACHN,ENSP00000344801,kidney
ACHN,ENSP00000306788,kidney
ACHN,ENSP00000373964,kidney
ACHN,ENSP00000340596,kidney
ACHN,ENSP00000305852,kidney
ACHN,ENSP00000286063,kidney
ACHN,ENSP00000281282,kidney
ACHN,ENSP00000377948,kidney
ACHN,ENSP00000272641,kidney
IGROV1,ENSP00000361547,ovary
IGROV1,ENSP00000216286,ovary
IGROV1,ENSP00000371554,ovary
IGROV1,ENSP00000341360,ovary
IGROV1,ENSP00000251020,ovary
IGROV1,ENSP00000221797,ovary
IGROV1,ENSP00000340913,ovary
IGROV1,ENSP00000316779,ovary
IGROV1,ENSP00000359567,ovary
IGROV1,ENSP00000375857,ovary
IGROV1,ENSP00000258729,ovary
IGROV1,ENSP00000352138,ovary
IGROV1,ENSP00000386170,ovary
IGROV1,ENSP00000317790,ovary
IGROV1,ENSP00000311165,ovary
IGROV1,ENSP00000341289,ovary
IGROV1,ENSP00000258341,ovary
IGROV1,ENSP00000226004,ovary
